Postagem;UX (Av1);UX (Av2);Usabilidade (Av1);Usabilidade (Av2)
😍😍😍😍😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
💜💜💜💜;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom 😊;Satisfação;Satisfação;Satisfação;Satisfação
N consigo carrega os audio,videos e fotos e nem consigo envia para outra pessoa🤦🏽‍♂️🙄;Frustração;Frustração;Eficiência;Satisfação
Câmera consertada 👍;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom Ta de parabéns 😀😊😘😍 Amei o Whatsapp messenger;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom 😘;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo 👍;Satisfação;Satisfação;Satisfação;Satisfação
O app tava bom mas pioro depois de terem tirado o online 🤦🏻‍♂️;Frustração;Frustração;Eficiência;Eficiência
Gostei muito so que não posso dar vos toda as estrelas 🥰;Satisfação;Satisfação;Satisfação;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
✌🏻🤞🏽🤞🏽🤞🏽;Satisfação;;Satisfação;
Legal 👌;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom amei❤️😍👏;Satisfação;Satisfação;Satisfação;Satisfação
Poxa custava nada colocar fotos com musicas, tipo no instagram 😎🤘;Motivação;Satisfação;Satisfação;Satisfação
😍😊😄;Satisfação;Satisfação;Satisfação;Satisfação
E mesmo muito bom😍;Satisfação;Satisfação;Satisfação;Satisfação
Muito boom 💥💥💥;Satisfação;Frustração;Satisfação;Satisfação
Muito legal 👏👌;Satisfação;Satisfação;Satisfação;Satisfação
Bug da câmera agora está corrigido 👏;Satisfação;Satisfação;Satisfação;Satisfação
Essa atualização da aceleração do áudio foi a melhor de todas. 👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
❤❤❤❤❤❤😁😁😁😁;Satisfação;Satisfação;Satisfação;Satisfação
🌹;Satisfação;Afeto;Satisfação;Satisfação
O App fico horrível depois da atualização não ta carregador áudio video foto or😡;Frustração;Frustração;Eficiência;Eficiência
Adorei 👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom, o melhor até agora. Porém deveria da opção de sair, é muito chato ter que está desligando a internet para que as pessoas não vejam que vc não entra pq não quer ....e colocar músicas nas fotos e vidios . O mais é excelente. E por favo coloca filtro também♥️ obrigada ❤️❤️❤️❤️❤️❤️❤️;Satisfação;Satisfação;Satisfação;Satisfação
É bom 😎;Satisfação;Satisfação;Satisfação;Satisfação
😠;Frustração;Frustração;Satisfação;Satisfação
Pra que colocar as arquivadas no topo? Se a gente arquiva é pra não ver. Desnecessário 😕;Frustração;Frustração;Satisfação;Eficiência
Recomendo 😆😊;Satisfação;Satisfação;Satisfação;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
Tirar fotos com a câmera do whatsapp 😕 tá um horror de tanto zoom que tem. Tento ver se atualiza e volta ao normal, porém nada. ⭐⭐;Frustração;Satisfação;Eficiência;Satisfação
😙Ameiii nota 1000009;Satisfação;Satisfação;Satisfação;Satisfação
Coococ8ororoc,rrororccco8r8raa8a99888*7,7,'🤵👯💃👳🤘👂🕳️👃👁️💀👦🤘🤘👏👃👄👁️Unë elwwo ok ok;Satisfação;;Satisfação;
Melhor q tá tendo! 👏;Satisfação;Satisfação;Satisfação;Satisfação
Eu não 😡😬;Frustração;Frustração;Satisfação;Satisfação
Nnll uhuuuuuu u.+..+💖m}%😻)).)}`<^^999ol;Satisfação;Satisfação;Satisfação;Satisfação
Tá mais vcs já viram o link pra deixa seu zap igual ao zap do iphone? 🤡🤡Pq eu vi baixei e agora to com um zap mto top do iphone hihi 💅👁👄👁;Satisfação;Satisfação;Satisfação;Satisfação
Prefiro o imune👿👍;Satisfação;Satisfação;Satisfação;Satisfação
Achei shuper legal kakakakakkakakakakakakkakakakakk sasuke é pft tá😃;Satisfação;Satisfação;Satisfação;Satisfação
🙌🙌;Satisfação;Satisfação;Satisfação;Satisfação
WhatsApp tá na hora de liberar o envio de vídeos por completo não consigo enviar um vídeo de 6 minutos só vai cortado eu hein chato isso vamos ajeitar isso 🤦🏻‍♂️;Frustração;Frustração;Eficiência;Eficiência
Amooo💜;Afeto;Satisfação;Satisfação;Satisfação
Muito bom❤❤❤;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍👍😊😊😊😊;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo 👍;Satisfação;Satisfação;Satisfação;Satisfação
👏👏👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
APP É TOP👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
🍁• eu não tô conseguindo entrar então eu não gostei muito do aplicativo, e também eles deixaram eu esperando 24 horas só para entrar no aplicativo não gostei desse aplicativo gente•🍁;Frustração;;Eficiência;
Nao consigo atualizar tenho de desinstalar alguma cena será que podes me deixar atualizar sem desinstalar por favor 🙃;Frustração;Satisfação;Eficiência;Satisfação
Muito bom gostei 👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
Eu amo💖;Afeto;Satisfação;Satisfação;Satisfação
